id,x,y,yaw
0,-41.5176,10.5635,2.43099
1,-41.9548,11.4579,2.43314
2,-42.9051,12.5569,2.44038
3,-44.1154,13.0401,2.43926
4,-45.1128,13.951,2.43934
5,-45.9987,14.7165,2.43628
6,-48.1657,16.873,2.42964
7,-48.8767,17.7199,2.43248
8,-49.644,18.0503,2.4256
9,-49.8311,18.684,2.43142
10,-50.6785,18.9265,2.43016
11,-55.6109,25.2628,2.43966
12,-56.9799,24.5547,2.43687
13,-57.9759,25.5265,2.4372
14,-59.1549,26.7874,2.44075
15,-60.4575,27.919,2.44445
16,-61.0658,28.1273,2.45023
17,-62.0716,28.3542,2.444
18,-62.5116,29.2842,2.44678
19,-63.0104,29.8832,2.45064
20,-63.2204,30.038,2.45277
21,-69.8573,35.9092,2.4395
22,-71.2389,37.6274,2.44909
23,-72.874,38.6647,2.45503
24,-74.7779,39.4573,2.4531
25,-76.4385,40.5169,2.44839
26,-76.2166,41.6732,2.4455
27,-78.3804,43.0712,2.44662
28,-80.2656,44.8482,2.44931
29,-82.1226,45.9692,2.44666
30,-83.6416,47.5357,2.44732
31,-86.3224,48.935,2.44431
32,-87.4179,49.945,2.44105
33,-88.4576,51.3426,2.4412
34,-90.0814,52.4383,2.4383
35,-91.4444,53.8963,2.43647
36,-92.8263,55.4554,2.43764
37,-94.4066,57.3282,2.43725
38,-96.2155,57.2455,2.43088
39,-97.5835,58.3162,2.42606
40,-98.9754,59.3468,2.42011
41,-100.013,60.9028,2.41864
42,-100.297,64.7613,2.4275
43,-102.851,64.4887,2.42567
44,-104.329,65.5061,2.42555
45,-105.685,66.8205,2.42751
46,-107.068,67.9625,2.42717
47,-108.142,70.2642,2.42889
48,-109.908,70.884,2.43132
49,-111.33,72.0641,2.43381
50,-112.922,72.6726,2.43155
51,-114.662,73.9196,2.42911
52,-116.014,74.614,2.42526
53,-117.063,76.106,2.42607
54,-118.399,77.2229,2.42482
55,-120.015,78.5601,2.422
56,-121.254,79.7511,2.41989
57,-122.394,81.5583,2.42152
58,-123.784,83.1592,2.42866
59,-125.461,84.2377,2.4295
60,-126.847,85.1025,2.42831
61,-128.244,86.6359,2.42862
62,-129.74,87.8205,2.42875
63,-131.137,89.5313,2.4264
64,-132.151,90.7571,2.42898
65,-133.752,91.8284,2.43005
66,-134.97,92.7059,2.43035
67,-136.533,94.0229,2.43045
68,-136.591,97.3052,2.43223
69,-138.859,96.9408,2.43459
70,-140.429,97.3099,2.43312
71,-141.203,98.6665,2.43411
72,-142.336,99.8722,2.43615
73,-142.567,100.704,2.43121
74,-143.905,99.965,2.42675
75,-143.751,101.246,2.428
76,-144.553,101.15,2.42593
77,-144.707,102.841,2.43015
78,-148.165,108.556,2.43326
79,-150.475,107.411,2.43418
80,-151.346,108.023,2.43514
81,-152.313,108.116,2.43327
82,-152.246,109.372,2.43666
83,-158.262,115.289,2.43935
84,-159.333,115.954,2.4443
85,-160.775,116.888,2.44787
86,-162.872,117.127,2.44527
87,-163.915,118.393,2.44401
88,-162.929,118.056,2.43223
89,-163.497,118.812,2.43322
90,-163.908,119.64,2.43485
91,-164.234,120.086,2.4364
92,-165.071,120.803,2.43721
93,-171.35,129.592,2.43756
94,-173.404,128.268,2.44104
95,-174.252,129.062,2.44483
96,-176.135,127.426,2.43764
97,-176.186,127.869,2.43216
98,-175.638,129.953,2.43039
99,-175.94,130.644,2.43583
100,-176.806,130.135,2.43697
101,-177.463,130.034,2.43526
102,-178.222,129.716,2.43055
103,-185.668,141.005,2.43884
104,-187.129,140.091,2.44065
105,-188.209,139.397,2.43749
106,-188.039,140.563,2.43885
107,-188.536,140.664,2.43904
108,-193.505,146.796,2.43852
109,-195.282,145.889,2.43643
110,-195.968,146.312,2.4341
111,-197.144,144.939,2.42453
112,-200.197,153.357,2.43524
113,-202.027,150.932,2.4307
114,-202.25,151.682,2.42876
115,-203.331,151.878,2.42369
116,-203.73,152.845,2.42079
117,-204.522,155.93,2.41966
118,-205.384,156.268,2.42177
119,-206.366,156.42,2.42193
120,-207.172,156.873,2.42174
121,-207.679,157.602,2.42203
122,-206.76,159.414,2.41704
123,-207.057,160.161,2.42481
124,-208.507,159.457,2.42686
125,-209.238,158.449,2.4241
126,-209.753,158.121,2.42027
127,-211.383,164.365,2.42671
128,-213.255,163.529,2.42866
129,-214.207,164.048,2.43014
130,-214.926,164.296,2.4307
131,-214.153,166.231,2.42656
132,-215.115,166.719,2.43275
133,-216.417,166.142,2.43413
134,-216.544,167.227,2.43856
135,-217.343,167.435,2.44132
136,-218.603,168.114,2.43717
137,-218.843,168.513,2.43978
138,-219.968,168.202,2.43887
139,-220.727,168.599,2.43764
140,-221.35,169.409,2.43722
141,-220.172,172.34,2.43525
142,-222.611,171.116,2.4349
143,-223.805,171.538,2.43388
144,-224.957,172.255,2.43222
145,-224.64,174.628,2.43712
146,-225.125,176.293,2.43685
147,-227.908,174.941,2.43483
148,-228.437,176.607,2.43615
149,-229.261,177.878,2.4388
150,-229.831,179.2,2.44271
151,-232.918,178.713,2.43282
152,-233.475,180.275,2.43254
153,-233.939,182.716,2.43756
154,-234.949,183.836,2.44272
155,-236.533,183.608,2.44331
156,-238.715,186.472,2.43509
157,-238.848,187.827,2.44199
158,-240.874,186.68,2.44131
159,-241.104,186.536,2.43964
160,-242.274,185.093,2.43217
161,-241.217,186.714,2.43096
162,-248.244,192.119,2.42532
163,-245.897,195.997,2.43666
164,-245.857,196.877,2.44915
165,-248.007,195.146,2.45296
166,-250.206,193.05,2.44743
167,-248.368,194.771,2.45057
168,-253.496,202.835,2.45058
169,-255.537,200.886,2.45309
170,-257.451,199.424,2.44862
171,-256.902,199.756,2.44607
172,-256.623,199.417,2.44282
173,-256.652,198.478,2.43767
174,-267.836,212.061,2.43018
175,-266.645,214.509,2.44092
176,-268.651,212.253,2.44227
177,-270.91,209.523,2.43357
178,-268.747,211.933,2.43499
179,-274.215,219.813,2.4267
180,-276.226,218.804,2.4283
181,-274.958,221.114,2.43692
182,-275.818,220.276,2.44208
183,-277.412,219.859,2.44362
184,-277.567,221.067,2.44756
185,-281.056,226.918,2.4392
186,-283.797,225.359,2.43996
187,-284.479,226.184,2.44147
188,-285.92,226.098,2.44019
189,-285.371,229.545,2.44008
190,-288.331,227.441,2.43729
191,-288.682,228.615,2.43654
192,-288.237,230.972,2.44119
193,-290.069,230.821,2.44214
194,-290.521,232.781,2.43455
195,-291.906,232.952,2.43621
196,-292.344,234.043,2.43937
197,-294.676,232.838,2.4361
198,-294.73,234.793,2.43651
199,-294.86,236.775,2.43194
